"Value","X2006_Clas","X2010_Clas","Class_Name"
333,"Palustrine Scrub/Shrub Wetland","Grassland","Palustrine Scrub/Shrub Wetland to Grassland"
334,"Palustrine Scrub/Shrub Wetland","Deciduous Forest","Palustrine Scrub/Shrub Wetland to Deciduous Forest"
335,"Palustrine Scrub/Shrub Wetland","Evergreen Forest","Palustrine Scrub/Shrub Wetland to Evergreen Forest"
336,"Palustrine Scrub/Shrub Wetland","Mixed Forest","Palustrine Scrub/Shrub Wetland to Mixed Forest"
337,"Palustrine Scrub/Shrub Wetland","Scrub/Shrub","Palustrine Scrub/Shrub Wetland to Scrub/Shrub"
338,"Palustrine Scrub/Shrub Wetland","Palustrine Forested Wetland","Palustrine Scrub/Shrub Wetland to Palustrine Forested Wetland"
339,"Palustrine Scrub/Shrub Wetland","Palustrine Scrub/Shrub Wetland","Palustrine Scrub/Shrub Wetland to Palustrine Scrub/Shrub Wetland"
340,"Palustrine Scrub/Shrub Wetland","Palustrine Emergent Wetland","Palustrine Scrub/Shrub Wetland to Palustrine Emergent Wetland"
341,"Palustrine Scrub/Shrub Wetland","Estuarine Forested Wetland","Palustrine Scrub/Shrub Wetland to Estuarine Forested Wetland"
342,"Palustrine Scrub/Shrub Wetland","Estuarine Scrub/Shrub Wetland","Palustrine Scrub/Shrub Wetland to Estuarine Scrub/Shrub Wetland"
343,"Palustrine Scrub/Shrub Wetland","Estuarine Emergent Wetland","Palustrine Scrub/Shrub Wetland to Estuarine Emergent Wetland"
344,"Palustrine Scrub/Shrub Wetland","Unconsolidated Shore","Palustrine Scrub/Shrub Wetland to Unconsolidated Shore"
345,"Palustrine Scrub/Shrub Wetland","Bare Land","Palustrine Scrub/Shrub Wetland to Bare Land"
346,"Palustrine Scrub/Shrub Wetland","Water","Palustrine Scrub/Shrub Wetland to Water"
347,"Palustrine Scrub/Shrub Wetland","Palustrine Aquatic Bed","Palustrine Scrub/Shrub Wetland to Palustrine Aquatic Bed"
348,"Palustrine Scrub/Shrub Wetland","Estuarine Aquatic Bed","Palustrine Scrub/Shrub Wetland to Estuarine Aquatic Bed"
349,"Palustrine Scrub/Shrub Wetland","Tundra","Palustrine Scrub/Shrub Wetland to Tundra"
350,"Palustrine Scrub/Shrub Wetland","Snow/Ice","Palustrine Scrub/Shrub Wetland to Snow/Ice"
351,"Palustrine Emergent Wetland","Unclassified","Palustrine Emergent Wetland to Unclassified"
352,"Palustrine Emergent Wetland","High Intensity Developed","Palustrine Emergent Wetland to High Intensity Developed"
353,"Palustrine Emergent Wetland","Medium Intensity Developed","Palustrine Emergent Wetland to Medium Intensity Developed"
354,"Palustrine Emergent Wetland","Low Intensity Developed","Palustrine Emergent Wetland to Low Intensity Developed"
355,"Palustrine Emergent Wetland","Developed Open Space","Palustrine Emergent Wetland to Developed Open Space"
356,"Palustrine Emergent Wetland","Cultivated","Palustrine Emergent Wetland to Cultivated"
357,"Palustrine Emergent Wetland","Pasture/Hay","Palustrine Emergent Wetland to Pasture/Hay"
358,"Palustrine Emergent Wetland","Grassland","Palustrine Emergent Wetland to Grassland"
359,"Palustrine Emergent Wetland","Deciduous Forest","Palustrine Emergent Wetland to Deciduous Forest"
360,"Palustrine Emergent Wetland","Evergreen Forest","Palustrine Emergent Wetland to Evergreen Forest"
361,"Palustrine Emergent Wetland","Mixed Forest","Palustrine Emergent Wetland to Mixed Forest"
362,"Palustrine Emergent Wetland","Scrub/Shrub","Palustrine Emergent Wetland to Scrub/Shrub"
363,"Palustrine Emergent Wetland","Palustrine Forested Wetland","Palustrine Emergent Wetland to Palustrine Forested Wetland"
364,"Palustrine Emergent Wetland","Palustrine Scrub/Shrub Wetland","Palustrine Emergent Wetland to Palustrine Scrub/Shrub Wetland"
365,"Palustrine Emergent Wetland","Palustrine Emergent Wetland","Palustrine Emergent Wetland to Palustrine Emergent Wetland"
366,"Palustrine Emergent Wetland","Estuarine Forested Wetland","Palustrine Emergent Wetland to Estuarine Forested Wetland"
367,"Palustrine Emergent Wetland","Estuarine Scrub/Shrub Wetland","Palustrine Emergent Wetland to Estuarine Scrub/Shrub Wetland"
368,"Palustrine Emergent Wetland","Estuarine Emergent Wetland","Palustrine Emergent Wetland to Estuarine Emergent Wetland"
369,"Palustrine Emergent Wetland","Unconsolidated Shore","Palustrine Emergent Wetland to Unconsolidated Shore"
370,"Palustrine Emergent Wetland","Bare Land","Palustrine Emergent Wetland to Bare Land"
371,"Palustrine Emergent Wetland","Water","Palustrine Emergent Wetland to Water"
372,"Palustrine Emergent Wetland","Palustrine Aquatic Bed","Palustrine Emergent Wetland to Palustrine Aquatic Bed"
373,"Palustrine Emergent Wetland","Estuarine Aquatic Bed","Palustrine Emergent Wetland to Estuarine Aquatic Bed"
374,"Palustrine Emergent Wetland","Tundra","Palustrine Emergent Wetland to Tundra"
375,"Palustrine Emergent Wetland","Snow/Ice","Palustrine Emergent Wetland to Snow/Ice"
376,"Estuarine Forested Wetland","Unclassified","Estuarine Forested Wetland to Unclassified"
377,"Estuarine Forested Wetland","High Intensity Developed","Estuarine Forested Wetland to High Intensity Developed"
378,"Estuarine Forested Wetland","Medium Intensity Developed","Estuarine Forested Wetland to Medium Intensity Developed"
379,"Estuarine Forested Wetland","Low Intensity Developed","Estuarine Forested Wetland to Low Intensity Developed"
380,"Estuarine Forested Wetland","Developed Open Space","Estuarine Forested Wetland to Developed Open Space"
381,"Estuarine Forested Wetland","Cultivated","Estuarine Forested Wetland to Cultivated"
382,"Estuarine Forested Wetland","Pasture/Hay","Estuarine Forested Wetland to Pasture/Hay"
383,"Estuarine Forested Wetland","Grassland","Estuarine Forested Wetland to Grassland"
384,"Estuarine Forested Wetland","Deciduous Forest","Estuarine Forested Wetland to Deciduous Forest"
385,"Estuarine Forested Wetland","Evergreen Forest","Estuarine Forested Wetland to Evergreen Forest"
386,"Estuarine Forested Wetland","Mixed Forest","Estuarine Forested Wetland to Mixed Forest"
387,"Estuarine Forested Wetland","Scrub/Shrub","Estuarine Forested Wetland to Scrub/Shrub"
388,"Estuarine Forested Wetland","Palustrine Forested Wetland","Estuarine Forested Wetland to Palustrine Forested Wetland"
389,"Estuarine Forested Wetland","Palustrine Scrub/Shrub Wetland","Estuarine Forested Wetland to Palustrine Scrub/Shrub Wetland"
390,"Estuarine Forested Wetland","Palustrine Emergent Wetland","Estuarine Forested Wetland to Palustrine Emergent Wetland"
391,"Estuarine Forested Wetland","Estuarine Forested Wetland","Estuarine Forested Wetland to Estuarine Forested Wetland"
392,"Estuarine Forested Wetland","Estuarine Scrub/Shrub Wetland","Estuarine Forested Wetland to Estuarine Scrub/Shrub Wetland"
393,"Estuarine Forested Wetland","Estuarine Emergent Wetland","Estuarine Forested Wetland to Estuarine Emergent Wetland"
394,"Estuarine Forested Wetland","Unconsolidated Shore","Estuarine Forested Wetland to Unconsolidated Shore"
395,"Estuarine Forested Wetland","Bare Land","Estuarine Forested Wetland to Bare Land"
396,"Estuarine Forested Wetland","Water","Estuarine Forested Wetland to Water"
397,"Estuarine Forested Wetland","Palustrine Aquatic Bed","Estuarine Forested Wetland to Palustrine Aquatic Bed"
398,"Estuarine Forested Wetland","Estuarine Aquatic Bed","Estuarine Forested Wetland to Estuarine Aquatic Bed"
399,"Estuarine Forested Wetland","Tundra","Estuarine Forested Wetland to Tundra"
400,"Estuarine Forested Wetland","Snow/Ice","Estuarine Forested Wetland to Snow/Ice"
401,"Estuarine Scrub/Shrub Wetland","Unclassified","Estuarine Scrub/Shrub Wetland to Unclassified"
402,"Estuarine Scrub/Shrub Wetland","High Intensity Developed","Estuarine Scrub/Shrub Wetland to High Intensity Developed"
403,"Estuarine Scrub/Shrub Wetland","Medium Intensity Developed","Estuarine Scrub/Shrub Wetland to Medium Intensity Developed"
404,"Estuarine Scrub/Shrub Wetland","Low Intensity Developed","Estuarine Scrub/Shrub Wetland to Low Intensity Developed"
405,"Estuarine Scrub/Shrub Wetland","Developed Open Space","Estuarine Scrub/Shrub Wetland to Developed Open Space"
406,"Estuarine Scrub/Shrub Wetland","Cultivated","Estuarine Scrub/Shrub Wetland to Cultivated"
407,"Estuarine Scrub/Shrub Wetland","Pasture/Hay","Estuarine Scrub/Shrub Wetland to Pasture/Hay"
408,"Estuarine Scrub/Shrub Wetland","Grassland","Estuarine Scrub/Shrub Wetland to Grassland"
409,"Estuarine Scrub/Shrub Wetland","Deciduous Forest","Estuarine Scrub/Shrub Wetland to Deciduous Forest"
410,"Estuarine Scrub/Shrub Wetland","Evergreen Forest","Estuarine Scrub/Shrub Wetland to Evergreen Forest"
411,"Estuarine Scrub/Shrub Wetland","Mixed Forest","Estuarine Scrub/Shrub Wetland to Mixed Forest"
412,"Estuarine Scrub/Shrub Wetland","Scrub/Shrub","Estuarine Scrub/Shrub Wetland to Scrub/Shrub"
413,"Estuarine Scrub/Shrub Wetland","Palustrine Forested Wetland","Estuarine Scrub/Shrub Wetland to Palustrine Forested Wetland"
414,"Estuarine Scrub/Shrub Wetland","Palustrine Scrub/Shrub Wetland","Estuarine Scrub/Shrub Wetland to Palustrine Scrub/Shrub Wetland"
415,"Estuarine Scrub/Shrub Wetland","Palustrine Emergent Wetland","Estuarine Scrub/Shrub Wetland to Palustrine Emergent Wetland"
416,"Estuarine Scrub/Shrub Wetland","Estuarine Forested Wetland","Estuarine Scrub/Shrub Wetland to Estuarine Forested Wetland"
417,"Estuarine Scrub/Shrub Wetland","Estuarine Scrub/Shrub Wetland","Estuarine Scrub/Shrub Wetland to Estuarine Scrub/Shrub Wetland"
418,"Estuarine Scrub/Shrub Wetland","Estuarine Emergent Wetland","Estuarine Scrub/Shrub Wetland to Estuarine Emergent Wetland"
419,"Estuarine Scrub/Shrub Wetland","Unconsolidated Shore","Estuarine Scrub/Shrub Wetland to Unconsolidated Shore"
420,"Estuarine Scrub/Shrub Wetland","Bare Land","Estuarine Scrub/Shrub Wetland to Bare Land"
421,"Estuarine Scrub/Shrub Wetland","Water","Estuarine Scrub/Shrub Wetland to Water"
422,"Estuarine Scrub/Shrub Wetland","Palustrine Aquatic Bed","Estuarine Scrub/Shrub Wetland to Palustrine Aquatic Bed"
423,"Estuarine Scrub/Shrub Wetland","Estuarine Aquatic Bed","Estuarine Scrub/Shrub Wetland to Estuarine Aquatic Bed"
424,"Estuarine Scrub/Shrub Wetland","Tundra","Estuarine Scrub/Shrub Wetland to Tundra"
425,"Estuarine Scrub/Shrub Wetland","Snow/Ice","Estuarine Scrub/Shrub Wetland to Snow/Ice"
426,"Estuarine Emergent Wetland","Unclassified","Estuarine Emergent Wetland to Unclassified"
427,"Estuarine Emergent Wetland","High Intensity Developed","Estuarine Emergent Wetland to High Intensity Developed"
428,"Estuarine Emergent Wetland","Medium Intensity Developed","Estuarine Emergent Wetland to Medium Intensity Developed"
429,"Estuarine Emergent Wetland","Low Intensity Developed","Estuarine Emergent Wetland to Low Intensity Developed"
430,"Estuarine Emergent Wetland","Developed Open Space","Estuarine Emergent Wetland to Developed Open Space"
431,"Estuarine Emergent Wetland","Cultivated","Estuarine Emergent Wetland to Cultivated"
432,"Estuarine Emergent Wetland","Pasture/Hay","Estuarine Emergent Wetland to Pasture/Hay"
433,"Estuarine Emergent Wetland","Grassland","Estuarine Emergent Wetland to Grassland"
434,"Estuarine Emergent Wetland","Deciduous Forest","Estuarine Emergent Wetland to Deciduous Forest"
435,"Estuarine Emergent Wetland","Evergreen Forest","Estuarine Emergent Wetland to Evergreen Forest"
436,"Estuarine Emergent Wetland","Mixed Forest","Estuarine Emergent Wetland to Mixed Forest"
437,"Estuarine Emergent Wetland","Scrub/Shrub","Estuarine Emergent Wetland to Scrub/Shrub"
438,"Estuarine Emergent Wetland","Palustrine Forested Wetland","Estuarine Emergent Wetland to Palustrine Forested Wetland"
439,"Estuarine Emergent Wetland","Palustrine Scrub/Shrub Wetland","Estuarine Emergent Wetland to Palustrine Scrub/Shrub Wetland"
440,"Estuarine Emergent Wetland","Palustrine Emergent Wetland","Estuarine Emergent Wetland to Palustrine Emergent Wetland"
441,"Estuarine Emergent Wetland","Estuarine Forested Wetland","Estuarine Emergent Wetland to Estuarine Forested Wetland"
442,"Estuarine Emergent Wetland","Estuarine Scrub/Shrub Wetland","Estuarine Emergent Wetland to Estuarine Scrub/Shrub Wetland"
443,"Estuarine Emergent Wetland","Estuarine Emergent Wetland","Estuarine Emergent Wetland to Estuarine Emergent Wetland"
444,"Estuarine Emergent Wetland","Unconsolidated Shore","Estuarine Emergent Wetland to Unconsolidated Shore"
445,"Estuarine Emergent Wetland","Bare Land","Estuarine Emergent Wetland to Bare Land"
446,"Estuarine Emergent Wetland","Water","Estuarine Emergent Wetland to Water"
447,"Estuarine Emergent Wetland","Palustrine Aquatic Bed","Estuarine Emergent Wetland to Palustrine Aquatic Bed"
448,"Estuarine Emergent Wetland","Estuarine Aquatic Bed","Estuarine Emergent Wetland to Estuarine Aquatic Bed"
449,"Estuarine Emergent Wetland","Tundra","Estuarine Emergent Wetland to Tundra"
450,"Estuarine Emergent Wetland","Snow/Ice","Estuarine Emergent Wetland to Snow/Ice"
451,"Unconsolidated Shore","Unclassified","Unconsolidated Shore to Unclassified"
452,"Unconsolidated Shore","High Intensity Developed","Unconsolidated Shore to High Intensity Developed"
453,"Unconsolidated Shore","Medium Intensity Developed","Unconsolidated Shore to Medium Intensity Developed"
454,"Unconsolidated Shore","Low Intensity Developed","Unconsolidated Shore to Low Intensity Developed"
455,"Unconsolidated Shore","Developed Open Space","Unconsolidated Shore to Developed Open Space"
456,"Unconsolidated Shore","Cultivated","Unconsolidated Shore to Cultivated"
457,"Unconsolidated Shore","Pasture/Hay","Unconsolidated Shore to Pasture/Hay"
458,"Unconsolidated Shore","Grassland","Unconsolidated Shore to Grassland"
459,"Unconsolidated Shore","Deciduous Forest","Unconsolidated Shore to Deciduous Forest"
460,"Unconsolidated Shore","Evergreen Forest","Unconsolidated Shore to Evergreen Forest"
461,"Unconsolidated Shore","Mixed Forest","Unconsolidated Shore to Mixed Forest"
462,"Unconsolidated Shore","Scrub/Shrub","Unconsolidated Shore to Scrub/Shrub"
463,"Unconsolidated Shore","Palustrine Forested Wetland","Unconsolidated Shore to Palustrine Forested Wetland"
464,"Unconsolidated Shore","Palustrine Scrub/Shrub Wetland","Unconsolidated Shore to Palustrine Scrub/Shrub Wetland"
465,"Unconsolidated Shore","Palustrine Emergent Wetland","Unconsolidated Shore to Palustrine Emergent Wetland"
466,"Unconsolidated Shore","Estuarine Forested Wetland","Unconsolidated Shore to Estuarine Forested Wetland"
467,"Unconsolidated Shore","Estuarine Scrub/Shrub Wetland","Unconsolidated Shore to Estuarine Scrub/Shrub Wetland"
468,"Unconsolidated Shore","Estuarine Emergent Wetland","Unconsolidated Shore to Estuarine Emergent Wetland"
469,"Unconsolidated Shore","Unconsolidated Shore","Unconsolidated Shore to Unconsolidated Shore"
470,"Unconsolidated Shore","Bare Land","Unconsolidated Shore to Bare Land"
471,"Unconsolidated Shore","Water","Unconsolidated Shore to Water"
472,"Unconsolidated Shore","Palustrine Aquatic Bed","Unconsolidated Shore to Palustrine Aquatic Bed"
473,"Unconsolidated Shore","Estuarine Aquatic Bed","Unconsolidated Shore to Estuarine Aquatic Bed"
474,"Unconsolidated Shore","Tundra","Unconsolidated Shore to Tundra"
475,"Unconsolidated Shore","Snow/Ice","Unconsolidated Shore to Snow/Ice"
476,"Bare Land","Unclassified","Bare Land to Unclassified"
477,"Bare Land","High Intensity Developed","Bare Land to High Intensity Developed"
478,"Bare Land","Medium Intensity Developed","Bare Land to Medium Intensity Developed"
479,"Bare Land","Low Intensity Developed","Bare Land to Low Intensity Developed"
480,"Bare Land","Developed Open Space","Bare Land to Developed Open Space"
481,"Bare Land","Cultivated","Bare Land to Cultivated"
482,"Bare Land","Pasture/Hay","Bare Land to Pasture/Hay"
483,"Bare Land","Grassland","Bare Land to Grassland"
484,"Bare Land","Deciduous Forest","Bare Land to Deciduous Forest"
485,"Bare Land","Evergreen Forest","Bare Land to Evergreen Forest"
486,"Bare Land","Mixed Forest","Bare Land to Mixed Forest"
487,"Bare Land","Scrub/Shrub","Bare Land to Scrub/Shrub"
488,"Bare Land","Palustrine Forested Wetland","Bare Land to Palustrine Forested Wetland"
489,"Bare Land","Palustrine Scrub/Shrub Wetland","Bare Land to Palustrine Scrub/Shrub Wetland"
490,"Bare Land","Palustrine Emergent Wetland","Bare Land to Palustrine Emergent Wetland"
491,"Bare Land","Estuarine Forested Wetland","Bare Land to Estuarine Forested Wetland"
492,"Bare Land","Estuarine Scrub/Shrub Wetland","Bare Land to Estuarine Scrub/Shrub Wetland"
493,"Bare Land","Estuarine Emergent Wetland","Bare Land to Estuarine Emergent Wetland"
494,"Bare Land","Unconsolidated Shore","Bare Land to Unconsolidated Shore"
495,"Bare Land","Bare Land","Bare Land to Bare Land"
496,"Bare Land","Water","Bare Land to Water"
497,"Bare Land","Palustrine Aquatic Bed","Bare Land to Palustrine Aquatic Bed"
498,"Bare Land","Estuarine Aquatic Bed","Bare Land to Estuarine Aquatic Bed"
499,"Bare Land","Tundra","Bare Land to Tundra"
500,"Bare Land","Snow/Ice","Bare Land to Snow/Ice"
501,"Water","Unclassified","Water to Unclassified"
502,"Water","High Intensity Developed","Water to High Intensity Developed"
503,"Water","Medium Intensity Developed","Water to Medium Intensity Developed"
504,"Water","Low Intensity Developed","Water to Low Intensity Developed"
505,"Water","Developed Open Space","Water to Developed Open Space"
506,"Water","Cultivated","Water to Cultivated"
507,"Water","Pasture/Hay","Water to Pasture/Hay"
508,"Water","Grassland","Water to Grassland"
509,"Water","Deciduous Forest","Water to Deciduous Forest"
510,"Water","Evergreen Forest","Water to Evergreen Forest"
511,"Water","Mixed Forest","Water to Mixed Forest"
512,"Water","Scrub/Shrub","Water to Scrub/Shrub"
513,"Water","Palustrine Forested Wetland","Water to Palustrine Forested Wetland"
514,"Water","Palustrine Scrub/Shrub Wetland","Water to Palustrine Scrub/Shrub Wetland"
515,"Water","Palustrine Emergent Wetland","Water to Palustrine Emergent Wetland"
516,"Water","Estuarine Forested Wetland","Water to Estuarine Forested Wetland"
517,"Water","Estuarine Scrub/Shrub Wetland","Water to Estuarine Scrub/Shrub Wetland"
518,"Water","Estuarine Emergent Wetland","Water to Estuarine Emergent Wetland"
519,"Water","Unconsolidated Shore","Water to Unconsolidated Shore"
520,"Water","Bare Land","Water to Bare Land"
521,"Water","Water","Water to Water"
522,"Water","Palustrine Aquatic Bed","Water to Palustrine Aquatic Bed"
523,"Water","Estuarine Aquatic Bed","Water to Estuarine Aquatic Bed"
524,"Water","Tundra","Water to Tundra"
525,"Water","Snow/Ice","Water to Snow/Ice"
526,"Palustrine Aquatic Bed","Unclassified","Palustrine Aquatic Bed to Unclassified"
527,"Palustrine Aquatic Bed","High Intensity Developed","Palustrine Aquatic Bed to High Intensity Developed"
528,"Palustrine Aquatic Bed","Medium Intensity Developed","Palustrine Aquatic Bed to Medium Intensity Developed"
529,"Palustrine Aquatic Bed","Low Intensity Developed","Palustrine Aquatic Bed to Low Intensity Developed"
530,"Palustrine Aquatic Bed","Developed Open Space","Palustrine Aquatic Bed to Developed Open Space"
531,"Palustrine Aquatic Bed","Cultivated","Palustrine Aquatic Bed to Cultivated"
532,"Palustrine Aquatic Bed","Pasture/Hay","Palustrine Aquatic Bed to Pasture/Hay"
533,"Palustrine Aquatic Bed","Grassland","Palustrine Aquatic Bed to Grassland"
534,"Palustrine Aquatic Bed","Deciduous Forest","Palustrine Aquatic Bed to Deciduous Forest"
535,"Palustrine Aquatic Bed","Evergreen Forest","Palustrine Aquatic Bed to Evergreen Forest"
536,"Palustrine Aquatic Bed","Mixed Forest","Palustrine Aquatic Bed to Mixed Forest"
537,"Palustrine Aquatic Bed","Scrub/Shrub","Palustrine Aquatic Bed to Scrub/Shrub"
538,"Palustrine Aquatic Bed","Palustrine Forested Wetland","Palustrine Aquatic Bed to Palustrine Forested Wetland"
539,"Palustrine Aquatic Bed","Palustrine Scrub/Shrub Wetland","Palustrine Aquatic Bed to Palustrine Scrub/Shrub Wetland"
540,"Palustrine Aquatic Bed","Palustrine Emergent Wetland","Palustrine Aquatic Bed to Palustrine Emergent Wetland"
541,"Palustrine Aquatic Bed","Estuarine Forested Wetland","Palustrine Aquatic Bed to Estuarine Forested Wetland"
542,"Palustrine Aquatic Bed","Estuarine Scrub/Shrub Wetland","Palustrine Aquatic Bed to Estuarine Scrub/Shrub Wetland"
543,"Palustrine Aquatic Bed","Estuarine Emergent Wetland","Palustrine Aquatic Bed to Estuarine Emergent Wetland"
544,"Palustrine Aquatic Bed","Unconsolidated Shore","Palustrine Aquatic Bed to Unconsolidated Shore"
545,"Palustrine Aquatic Bed","Bare Land","Palustrine Aquatic Bed to Bare Land"
546,"Palustrine Aquatic Bed","Water","Palustrine Aquatic Bed to Water"
547,"Palustrine Aquatic Bed","Palustrine Aquatic Bed","Palustrine Aquatic Bed to Palustrine Aquatic Bed"
548,"Palustrine Aquatic Bed","Estuarine Aquatic Bed","Palustrine Aquatic Bed to Estuarine Aquatic Bed"
549,"Palustrine Aquatic Bed","Tundra","Palustrine Aquatic Bed to Tundra"
550,"Palustrine Aquatic Bed","Snow/Ice","Palustrine Aquatic Bed to Snow/Ice"
551,"Estuarine Aquatic Bed","Unclassified","Estuarine Aquatic Bed to Unclassified"
552,"Estuarine Aquatic Bed","High Intensity Developed","Estuarine Aquatic Bed to High Intensity Developed"
553,"Estuarine Aquatic Bed","Medium Intensity Developed","Estuarine Aquatic Bed to Medium Intensity Developed"
554,"Estuarine Aquatic Bed","Low Intensity Developed","Estuarine Aquatic Bed to Low Intensity Developed"
555,"Estuarine Aquatic Bed","Developed Open Space","Estuarine Aquatic Bed to Developed Open Space"
556,"Estuarine Aquatic Bed","Cultivated","Estuarine Aquatic Bed to Cultivated"
557,"Estuarine Aquatic Bed","Pasture/Hay","Estuarine Aquatic Bed to Pasture/Hay"
558,"Estuarine Aquatic Bed","Grassland","Estuarine Aquatic Bed to Grassland"
559,"Estuarine Aquatic Bed","Deciduous Forest","Estuarine Aquatic Bed to Deciduous Forest"
560,"Estuarine Aquatic Bed","Evergreen Forest","Estuarine Aquatic Bed to Evergreen Forest"
561,"Estuarine Aquatic Bed","Mixed Forest","Estuarine Aquatic Bed to Mixed Forest"
562,"Estuarine Aquatic Bed","Scrub/Shrub","Estuarine Aquatic Bed to Scrub/Shrub"
563,"Estuarine Aquatic Bed","Palustrine Forested Wetland","Estuarine Aquatic Bed to Palustrine Forested Wetland"
564,"Estuarine Aquatic Bed","Palustrine Scrub/Shrub Wetland","Estuarine Aquatic Bed to Palustrine Scrub/Shrub Wetland"
565,"Estuarine Aquatic Bed","Palustrine Emergent Wetland","Estuarine Aquatic Bed to Palustrine Emergent Wetland"
566,"Estuarine Aquatic Bed","Estuarine Forested Wetland","Estuarine Aquatic Bed to Estuarine Forested Wetland"
567,"Estuarine Aquatic Bed","Estuarine Scrub/Shrub Wetland","Estuarine Aquatic Bed to Estuarine Scrub/Shrub Wetland"
568,"Estuarine Aquatic Bed","Estuarine Emergent Wetland","Estuarine Aquatic Bed to Estuarine Emergent Wetland"
569,"Estuarine Aquatic Bed","Unconsolidated Shore","Estuarine Aquatic Bed to Unconsolidated Shore"
570,"Estuarine Aquatic Bed","Bare Land","Estuarine Aquatic Bed to Bare Land"
571,"Estuarine Aquatic Bed","Water","Estuarine Aquatic Bed to Water"
572,"Estuarine Aquatic Bed","Palustrine Aquatic Bed","Estuarine Aquatic Bed to Palustrine Aquatic Bed"
573,"Estuarine Aquatic Bed","Estuarine Aquatic Bed","Estuarine Aquatic Bed to Estuarine Aquatic Bed"
574,"Estuarine Aquatic Bed","Tundra","Estuarine Aquatic Bed to Tundra"
575,"Estuarine Aquatic Bed","Snow/Ice","Estuarine Aquatic Bed to Snow/Ice"
576,"Tundra","Unclassified","Tundra to Unclassified"
577,"Tundra","High Intensity Developed","Tundra to High Intensity Developed"
578,"Tundra","Medium Intensity Developed","Tundra to Medium Intensity Developed"
579,"Tundra","Low Intensity Developed","Tundra to Low Intensity Developed"
580,"Tundra","Developed Open Space","Tundra to Developed Open Space"
581,"Tundra","Cultivated","Tundra to Cultivated"
582,"Tundra","Pasture/Hay","Tundra to Pasture/Hay"
583,"Tundra","Grassland","Tundra to Grassland"
584,"Tundra","Deciduous Forest","Tundra to Deciduous Forest"
585,"Tundra","Evergreen Forest","Tundra to Evergreen Forest"
586,"Tundra","Mixed Forest","Tundra to Mixed Forest"
587,"Tundra","Scrub/Shrub","Tundra to Scrub/Shrub"
588,"Tundra","Palustrine Forested Wetland","Tundra to Palustrine Forested Wetland"
589,"Tundra","Palustrine Scrub/Shrub Wetland","Tundra to Palustrine Scrub/Shrub Wetland"
590,"Tundra","Palustrine Emergent Wetland","Tundra to Palustrine Emergent Wetland"
591,"Tundra","Estuarine Forested Wetland","Tundra to Estuarine Forested Wetland"
592,"Tundra","Estuarine Scrub/Shrub Wetland","Tundra to Estuarine Scrub/Shrub Wetland"
593,"Tundra","Estuarine Emergent Wetland","Tundra to Estuarine Emergent Wetland"
594,"Tundra","Unconsolidated Shore","Tundra to Unconsolidated Shore"
595,"Tundra","Bare Land","Tundra to Bare Land"
596,"Tundra","Water","Tundra to Water"
597,"Tundra","Palustrine Aquatic Bed","Tundra to Palustrine Aquatic Bed"
598,"Tundra","Estuarine Aquatic Bed","Tundra to Estuarine Aquatic Bed"
599,"Tundra","Tundra","Tundra to Tundra"
600,"Tundra","Snow/Ice","Tundra to Snow/Ice"
601,"Snow/Ice","Unclassified","Snow/Ice to Unclassified"
602,"Snow/Ice","High Intensity Developed","Snow/Ice to High Intensity Developed"
603,"Snow/Ice","Medium Intensity Developed","Snow/Ice to Medium Intensity Developed"
604,"Snow/Ice","Low Intensity Developed","Snow/Ice to Low Intensity Developed"
605,"Snow/Ice","Developed Open Space","Snow/Ice to Developed Open Space"
606,"Snow/Ice","Cultivated","Snow/Ice to Cultivated"
607,"Snow/Ice","Pasture/Hay","Snow/Ice to Pasture/Hay"
608,"Snow/Ice","Grassland","Snow/Ice to Grassland"
609,"Snow/Ice","Deciduous Forest","Snow/Ice to Deciduous Forest"
610,"Snow/Ice","Evergreen Forest","Snow/Ice to Evergreen Forest"
611,"Snow/Ice","Mixed Forest","Snow/Ice to Mixed Forest"
612,"Snow/Ice","Scrub/Shrub","Snow/Ice to Scrub/Shrub"
613,"Snow/Ice","Palustrine Forested Wetland","Snow/Ice to Palustrine Forested Wetland"
614,"Snow/Ice","Palustrine Scrub/Shrub Wetland","Snow/Ice to Palustrine Scrub/Shrub Wetland"
615,"Snow/Ice","Palustrine Emergent Wetland","Snow/Ice to Palustrine Emergent Wetland"
616,"Snow/Ice","Estuarine Forested Wetland","Snow/Ice to Estuarine Forested Wetland"
617,"Snow/Ice","Estuarine Scrub/Shrub Wetland","Snow/Ice to Estuarine Scrub/Shrub Wetland"
618,"Snow/Ice","Estuarine Emergent Wetland","Snow/Ice to Estuarine Emergent Wetland"
619,"Snow/Ice","Unconsolidated Shore","Snow/Ice to Unconsolidated Shore"
620,"Snow/Ice","Bare Land","Snow/Ice to Bare Land"
621,"Snow/Ice","Water","Snow/Ice to Water"
622,"Snow/Ice","Palustrine Aquatic Bed","Snow/Ice to Palustrine Aquatic Bed"
623,"Snow/Ice","Estuarine Aquatic Bed","Snow/Ice to Estuarine Aquatic Bed"
624,"Snow/Ice","Tundra","Snow/Ice to Tundra"
625,"Snow/Ice","Snow/Ice","Snow/Ice to Snow/Ice"
